Region	Country	Year	Month	Product	Category	Sales	Units
North America	USA	2016	1	Piano	Strings	4251.00	693
North America	USA	2016	1	Violin	Strings	2789.00	571
North America	USA	2016	1	Cello	Strings	3908.00	311
North America	USA	2016	1	Guitar	Strings	5034.00	284
North America	USA	2016	1	Flute	Winds	2130.00	580
North America	USA	2016	1	Oboe	Winds	6124.00	331
North America	USA	2016	1	Clarinet	Winds	5764.00	603
North America	USA	2016	1	Trumpet	Brass	3307.00	442
North America	USA	2016	1	Trombone	Brass	5686.00	273
North America	USA	2016	1	Tuba	Brass	5088.00	473
North America	USA	2016	1	Sax	Winds	4066.00	594
North America	Canada	2016	1	Piano	Strings	6619.00	284
North America	Canada	2016	1	Violin	Strings	2882.00	631
North America	Canada	2016	1	Cello	Strings	6335.00	251
North America	Canada	2016	1	Guitar	Strings	3688.00	572
North America	Canada	2016	1	Flute	Winds	3850.00	395
North America	Canada	2016	1	Oboe	Winds	3630.00	431
North America	Canada	2016	1	Clarinet	Winds	4094.00	645
North America	Canada	2016	1	Trumpet	Brass	2710.00	363
North America	Canada	2016	1	Trombone	Brass	2707.00	214
North America	Canada	2016	1	Tuba	Brass	2300.00	612
North America	Canada	2016	1	Sax	Winds	2676.00	612
Europe	France	2016	1	Piano	Strings	4913.00	582
Europe	France	2016	1	Violin	Strings	2227.00	279
Europe	France	2016	1	Cello	Strings	5212.00	529
Europe	France	2016	1	Guitar	Strings	3968.00	337
Europe	France	2016	1	Flute	Winds	2282.00	384
Europe	France	2016	1	Oboe	Winds	5274.00	481
Europe	France	2016	1	Clarinet	Winds	3140.00	699
Europe	France	2016	1	Trumpet	Brass	4934.00	481
Europe	France	2016	1	Trombone	Brass	2505.00	213
Europe	France	2016	1	Tuba	Brass	6038.00	314
Europe	France	2016	1	Sax	Winds	3811.00	553
Europe	Germany	2016	1	Piano	Strings	5118.00	428
Europe	Germany	2016	1	Violin	Strings	6474.00	551
Europe	Germany	2016	1	Cello	Strings	2540.00	620
Europe	Germany	2016	1	Guitar	Strings	4405.00	689
Europe	Germany	2016	1	Flute	Winds	4142.00	545
Europe	Germany	2016	1	Oboe	Winds	5782.00	670
Europe	Germany	2016	1	Clarinet	Winds	4128.00	346
Europe	Germany	2016	1	Trumpet	Brass	4056.00	615
Europe	Germany	2016	1	Trombone	Brass	4206.00	419
Europe	Germany	2016	1	Tuba	Brass	5226.00	381
Europe	Germany	2016	1	Sax	Winds	3979.00	289
Europe	UK	2016	1	Piano	Strings	6350.00	506
Europe	UK	2016	1	Violin	Strings	2587.00	619
Europe	UK	2016	1	Cello	Strings	5308.00	283
Europe	UK	2016	1	Guitar	Strings	6596.00	347
Europe	UK	2016	1	Flute	Winds	6826.00	451
Europe	UK	2016	1	Oboe	Winds	4141.00	437
